Name ,Volume,MCap (M),P/E,P/BV,D/E,EPS,ROA%,ROE%,NPM%,Yield%,EV/EBITDA
PTTEP,6900600,494263,10.74,1.35,0.66,11.6,12.77,12.31,25.95,4,4.88
TRUE,123747200,154161,63.55,1.23,3.14,0.07,2.75,1.81,4.68,1.93,6.87
PTT,55385800,1263913,13.29,1.46,1.31,3.33,7.81,11.05,4.47,4.49,8.08
BANPU,12995300,60911,25.14,0.82,2.23,0.47,5.39,3.05,1.2,5.98,8.61
PTTGC,7828300,254750,16.5,0.89,0.55,3.42,4.16,5.31,3.38,7.53,10.16
CPF,26357400,236809,14.69,1.39,2.54,1.87,6.52,9.7,3.53,2.34,10.44
SCC,2088800,468000,13.23,1.7,1.05,29.48,8.18,13.04,7.18,4.62,10.72
ADVANC,3996200,636260,20.54,10.27,3.57,10.42,14.64,54.98,18.19,3.29,10.79
BPP,3521700,53698,13.93,1.36,0.24,1.26,8.97,9.72,41.19,3.39,11.56
DELTA,4029100,66423,18.53,2.02,0.41,2.87,7.73,10.84,6.48,4.36,12.79
MINT,8941100,165129,19.59,2.27,2.29,1.82,7.54,12.62,7.31,1.12,13.29
IVL,25594500,196509,21.54,1.45,1.78,1.62,4.13,6.53,2.44,4.02,13.54
RATCH,4584900,100775,17.66,1.72,0.65,3.94,7.75,9.64,15.05,3.48,13.92
DTAC,6679300,126086,0,5.17,4.76,0,1.81,-0.08,8.13,1.88,13.98
ROBINS,7662500,73026,27.27,3.98,0.47,2.41,12.51,15.06,15.18,2.05,15.09
LH,31139200,116510,14.29,2.38,1.18,0.68,9.2,16.76,23.29,7.73,15.85
EGCO,1117000,173733,17.66,1.69,1.02,18.69,6,9.66,29.33,2.88,16.57
INTUCH,8002200,183568,16.63,5.66,0.36,3.44,19.71,35.97,67.32,4.71,16.69
WHA,50055200,57071,16.36,1.9,1.55,0.24,7.19,12.53,22.23,2.1,17.27
BJC,8254700,173295,25,1.55,1.81,1.73,4.27,6.27,3.71,1.71,17.78
BDMS,30291000,413192,28.41,5.1,0.59,0.92,15.73,19.37,18.64,1.21,17.79
BH,1679200,105682,27.61,5.54,0.31,5.25,19.15,20.97,20.61,1.99,18.33
BEM,32514500,168135,31.15,4.28,1.86,0.35,8.15,14.43,30.2,1.38,18.61
CPN,5967900,281622,26.57,4.11,1.35,2.36,8.24,16,28.38,1.77,19.02
TOP,5251700,142292,0,1.2,1.13,0,1.52,-0.42,1.58,3.79,19.82
BGRIM,10622700,136862,66.71,6.85,4.35,0.79,6.24,10.5,5.78,0.62,20.46
CPALL,17501000,669241,30.8,7.58,2.97,2.42,8.94,25.89,3.82,1.6,21.03
TU,11207100,63942,16.71,1.53,2.25,0.8,4.68,9.08,2.87,2.99,21.46
HMPRO,21843000,211734,34.63,10.88,1.6,0.46,16.08,32.44,8.77,2.19,21.98
IRPC,81295100,75199,0,0.89,1.1,0,-0.59,-2.63,-0.36,5.22,22.51
EA,13949400,163188,31.99,7.62,2.09,1.37,10.35,26.16,39.6,0.58,23.13
GLOBAL,6652800,67225,35.04,4.38,1.18,0.46,8.21,12.98,6.78,1.23,24.14
OSP,11809200,120901,37.48,6.96,0.28,1.07,21.3,28.95,12.43,1.73,24.34
CBG,2634800,84500,38.13,10.88,0.88,2.22,19.08,30.71,15.4,0.96,27.47
TOA,2475700,79638,38.07,7.82,0.5,1.03,18,21.77,12.99,0.99,27.74
AOT,22607400,1060713,42.38,6.89,0.24,1.75,16.73,16.81,38.51,1.4,28.71
GPSC,14745100,238972,70.24,4.53,7.55,1.21,5.96,10.08,5.88,0.78,29.91
BTS,31034800,173636,43.55,3.28,2.11,0.3,5.42,8.87,9.92,2.97,32.47
GULF,7814000,350928,77.39,9.29,2.24,2.13,7.82,12.26,15.49,0.73,37.53
AWC,29687700,184000,217.64,0,2.64,0.03,0,0,0,0,0
BBL,8293700,304460,8.47,0.71,6.5,18.82,1.43,8.6,23.5,4.06,0
KBANK,5252500,358989,9.71,0.9,6.96,15.45,1.65,9.58,21.47,2.67,0
KTB,29314600,229207,8.19,0.68,7.53,2,1.33,8.84,18.29,4.38,0
KTC,3716700,100555,18.5,5.45,3.57,2.11,8.91,32.38,30.06,2.08,0
MTC,3571800,134620,32.76,9.06,2.99,1.94,9.82,31.43,33.65,0.41,0
SAWAD,3716300,90531,25.91,5.36,1.66,2.62,11.39,25.15,37.87,0.02,0
SCB,5586000,405772,9.67,1.03,7.27,12.36,2.01,10.94,26.48,4.62,0
TCAP,8233100,62625,7.32,0.87,13.22,7.34,1.94,12.43,13.27,4.57,0
TISCO,1970500,78864,11.06,2.11,7.22,8.9,3.01,19.49,29.92,7.09,0
TMB,189123200,156102,21.36,0.69,7.96,0.08,1,7.32,15.67,1.94,0
